period_utc,respondent,demand_mwh,solar_mwh,wind_mwh,nuclear_mwh,net_load_mwh,residual_load_after_nuclear_mwh
2025-03-31 19:00:00-05:00,CISO,24276.0,11648.0,4925.0,2274.0,7703.0,5429.0
2025-03-31 20:00:00-05:00,CISO,24545.0,9172.0,4932.0,2271.0,10441.0,8170.0
2025-03-31 21:00:00-05:00,CISO,23418.0,6150.0,5209.0,2272.0,12059.0,9787.0
2025-03-31 22:00:00-05:00,CISO,24257.0,1628.0,5104.0,2272.0,17525.0,15253.0
2025-03-31 23:00:00-05:00,CISO,25491.0,107.0,4857.0,2273.0,20527.0,18254.0
2025-04-01 00:00:00-05:00,CISO,25555.0,91.0,4535.0,2274.0,20929.0,18655.0
2025-04-01 01:00:00-05:00,CISO,25020.0,95.0,4446.0,2274.0,20479.0,18205.0
2025-04-01 02:00:00-05:00,CISO,23759.0,96.0,4464.0,2275.0,19199.0,16924.0
2025-04-01 03:00:00-05:00,CISO,22513.0,97.0,4111.0,2276.0,18305.0,16029.0
2025-04-01 04:00:00-05:00,CISO,21935.0,53.0,3700.0,2277.0,18182.0,15905.0
2025-04-01 05:00:00-05:00,CISO,21099.0,-52.0,3649.0,2277.0,17502.0,15225.0
2025-04-01 06:00:00-05:00,CISO,21922.0,97.0,3598.0,2276.0,18227.0,15951.0
2025-04-01 07:00:00-05:00,CISO,21922.0,97.0,3562.0,2276.0,18263.0,15987.0
2025-04-01 08:00:00-05:00,CISO,20519.0,-53.0,3478.0,2275.0,17094.0,14819.0
2025-04-01 09:00:00-05:00,CISO,21829.0,-54.0,3570.0,2273.0,18313.0,16040.0
2025-04-01 10:00:00-05:00,CISO,23605.0,26.0,3442.0,2271.0,20137.0,17866.0
2025-04-01 11:00:00-05:00,CISO,21922.0,97.0,3275.0,2276.0,18550.0,16274.0
2025-04-01 12:00:00-05:00,CISO,25765.0,10803.0,3685.0,2273.0,11277.0,9004.0
2025-04-01 13:00:00-05:00,CISO,25906.0,11263.0,4304.0,2275.0,10339.0,8064.0
2025-04-01 14:00:00-05:00,CISO,21922.0,97.0,4205.0,2276.0,17620.0,15344.0
2025-04-01 15:00:00-05:00,CISO,25185.0,12648.0,3857.0,2276.0,8680.0,6404.0
2025-04-01 16:00:00-05:00,CISO,23432.0,12243.0,3524.0,2278.0,7665.0,5387.0
2025-04-01 17:00:00-05:00,CISO,23928.0,12445.0,3810.0,2277.0,7673.0,5396.0
2025-04-01 18:00:00-05:00,CISO,23846.0,12837.0,3768.0,2276.0,7241.0,4965.0
2025-04-01 19:00:00-05:00,CISO,23497.0,12994.0,3895.0,2277.0,6608.0,4331.0
2025-04-01 20:00:00-05:00,CISO,22657.0,11812.0,3869.0,2277.0,6976.0,4699.0
2025-04-01 21:00:00-05:00,CISO,22652.0,8147.0,3879.0,2275.0,10626.0,8351.0
2025-04-01 22:00:00-05:00,CISO,24156.0,2076.0,3731.0,2273.0,18349.0,16076.0
2025-04-01 23:00:00-05:00,CISO,25894.0,11.0,3624.0,2274.0,22259.0,19985.0
2025-04-02 00:00:00-05:00,CISO,25837.0,-22.0,3742.0,2274.0,22117.0,19843.0
2025-04-02 01:00:00-05:00,CISO,25359.0,-18.0,3625.0,2275.0,21752.0,19477.0
2025-04-02 02:00:00-05:00,CISO,23976.0,-17.0,3389.0,2276.0,20604.0,18328.0
2025-04-02 03:00:00-05:00,CISO,22855.0,-16.0,3288.0,2277.0,19583.0,17306.0
2025-04-02 04:00:00-05:00,CISO,22246.0,-17.0,3201.0,2277.0,19062.0,16785.0
2025-04-02 05:00:00-05:00,CISO,21354.0,-17.0,3341.0,2278.0,18030.0,15752.0
2025-04-02 06:00:00-05:00,CISO,20924.0,-18.0,2810.0,2277.0,18132.0,15855.0
2025-04-02 07:00:00-05:00,CISO,20572.0,-19.0,2701.0,2276.0,17890.0,15614.0
2025-04-02 08:00:00-05:00,CISO,21045.0,-20.0,3281.0,2276.0,17784.0,15508.0
2025-04-02 09:00:00-05:00,CISO,22227.0,-20.0,3845.0,2277.0,18402.0,16125.0
2025-04-02 10:00:00-05:00,CISO,24489.0,112.0,3904.0,2276.0,20473.0,18197.0
2025-04-02 11:00:00-05:00,CISO,25366.0,2950.0,3530.0,2276.0,18886.0,16610.0
2025-04-02 12:00:00-05:00,CISO,24230.0,7202.0,3573.0,2274.0,13455.0,11181.0
2025-04-02 13:00:00-05:00,CISO,23675.0,10902.0,3448.0,2274.0,9325.0,7051.0
2025-04-02 14:00:00-05:00,CISO,23255.0,12792.0,3064.0,2274.0,7399.0,5125.0
